name	Size	S_Pop	Pi_Pop	W_Pop	gc	omega_persite	chr	startwin	endwin	pi_persite_Asia	D_Pop_Asia	pi_persite_Europe	D_Pop_Europe	pi_persite_HybFirst	D_Pop_HybFirst	pi_persite_HybTea	D_Pop_HybTea	RoD_pi_Hyb1stvsAsia	RoD_pi_HybTeavsAsia	RoD_pi_Hyb1stvsEurope	RoD_pi_HybTeavsEurope	RoD_pi_HybTeavsHyb1st	deltaD_Hyb1stvsAsia	deltaD_HybTeavsAsia	deltaD_Hyb1stvsEurope	deltaD_HybTeavsEurope	deltaD_HybTeavsHyb1st
rose_round2.jointvcf_Chr01_33600001-33700000.clean.fst.ASIA.fst.clean.fst	82035	3397	897.775	1023.74	0.369065	0.0124793076	Chr01	33600001	33700000	0.0109438045	-0.540785	0.0171554079	0.852185	0.0170823922	1.19042	0.0044896565	-0.7713	-0.5609189883	0.5897535903	0.0042561307	0.7382949721	0.7371763603	1.731205	0.230515	0.338235	1.623485	1.96172
rose_round2.jointvcf_Chr03_24600001-24700000.clean.fst.ASIA.fst.clean.fst	81237	1959	511.267	590.375	0.36601	0.0072673166	Chr03	24600001	24700000	0.0062935239	-0.588679	0.0158501484	0.51452	0.0140135088	0.628812	0.0047544823	-0.626151	-1.2266553779	0.2445436892	0.1158752282	0.700035468	0.6607214936	1.217491	0.037472	0.114292	1.140671	1.254963
rose_round2.jointvcf_Chr03_25000001-25100000.clean.fst.ASIA.fst.clean.fst	74733	1888	438.002	568.978	0.380127	0.0076134773	Chr03	25000001	25100000	0.0058608914	-1.01127	0.0170048631	0.648785	0.0111884704	0.340637	0.0041197643	-0.751992	-0.9090048842	0.2970754792	0.3420429	0.7577302274	0.6317848495	1.351907	0.259278	0.308148	1.400777	1.092629
rose_round2.jointvcf_Chr03_25100001-25200000.clean.fst.ASIA.fst.clean.fst	81639	2125	437.121	640.402	0.40588	0.0078443146	Chr03	25100001	25200000	0.005354316	-1.39465	0.0164587405	0.335111	0.0105982878	0.31507	0.0038985718	-1.10649	-0.9793915609	0.2718823756	0.3560693275	0.76313061	0.6321507887	1.70972	0.28816	0.020041	1.441601	1.42156
rose_round2.jointvcf_Chr03_25200001-25300000.clean.fst.ASIA.fst.clean.fst	79530	2497	562.488	752.51	0.398827	0.009461964	Chr03	25200001	25300000	0.0070726518	-1.10961	0.0165293305	0.208624	0.0107184589	0.0748893	0.0044579659	-0.975876	-0.5154795022	0.369689611	0.3515491206	0.7302996673	0.5840851769	1.1844993	0.133734	0.1337347	1.1845	1.0507653
rose_round2.jointvcf_Chr03_25300001-25400000.clean.fst.ASIA.fst.clean.fst	77865	2042	433.414	615.389	0.388462	0.0079032813	Chr03	25300001	25400000	0.0055662236	-1.29917	0.0166634863	0.608571	0.0087916363	0.436848	0.0036066832	-1.12363	-0.5794615739	0.3520412624	0.4724011463	0.7835577054	0.5897597331	1.736018	0.17554	0.171723	1.732201	1.560478
rose_round2.jointvcf_Chr03_25400001-25500000.clean.fst.ASIA.fst.clean.fst	82122	2016	467.686	607.553	0.385188	0.0073981759	Chr03	25400001	25500000	0.0056950147	-1.01141	0.0153106199	0.527106	0.010090202	0.1918	0.0036606183	-1.03291	-0.7717604781	0.3572240809	0.3409671114	0.7609098544	0.637210601	1.20321	0.0215	0.335306	1.560016	1.22471
rose_round2.jointvcf_Chr03_25600001-25700000.clean.fst.ASIA.fst.clean.fst	80577	2321	540.254	699.47	0.400803	0.008680765	Chr03	25600001	25700000	0.0067048165	-1.00016	0.0168664118	0.402391	0.0122118072	0.419218	0.0041351802	-0.856219	-0.8213484514	0.3832522947	0.2759688696	0.7548275082	0.6613785216	1.419378	0.143941	0.016827	1.25861	1.275437
rose_round2.jointvcf_Chr03_26000001-26100000.clean.fst.ASIA.fst.clean.fst	72381	1547	398.352	466.213	0.38073	0.0064410964	Chr03	26000001	26100000	0.0055035437	-0.6393	0.0172090815	0.480635	0.0118605094	0.232015	0.0044380624	-0.716742	-1.1550677146	0.1935991391	0.3107993903	0.7421092798	0.6258118223	0.871315	0.077442	0.24862	1.197377	0.948757
rose_round2.jointvcf_Chr03_26500001-26600000.clean.fst.ASIA.fst.clean.fst	78147	2324	650.041	700.374	0.379912	0.0089622634	Chr03	26500001	26600000	0.0083181824	-0.315771	0.0183955422	0.508802	0.0164980277	0.553647	0.0041365992	-0.924917	-0.9833693121	0.5027039527	0.1031507807	0.7751303456	0.7492670456	0.869418	0.609146	0.044845	1.433719	1.478564
rose_round2.jointvcf_Chr03_26700001-26800000.clean.fst.ASIA.fst.clean.fst	79275	1833	473.422	552.403	0.379352	0.0069681867	Chr03	26700001	26800000	0.0059718953	-0.628092	0.0152130214	0.215906	0.0115845594	0.363572	0.0038837421	-0.984932	-0.9398463624	0.3496633995	0.238510283	0.7447093525	0.6647483981	0.991664	0.35684	0.147666	1.200838	1.348504
rose_round2.jointvcf_Chr03_27000001-27100000.clean.fst.ASIA.fst.clean.fst	82170	2319	566.619	698.867	0.37674	0.0085051357	Chr03	27000001	27100000	0.0068956919	-0.831472	0.0158989711	0.397512	0.0126890615	0.370358	0.0035665589	-0.855856	-0.8401433444	0.4827844744	0.2018941732	0.7756736039	0.7189265025	1.20183	0.024384	0.027154	1.253368	1.226214
