chr	startwin	medianwin	endwin	NbDiagnoSNPs	medianfreqfirsthyb	meanfreqfirsthyb	medianfreqhybtea	meanfreqhybtea
Chr00	-449999	50000	550000	166	0.25	0.292297979797951	0.6875	0.6625
Chr00	-399999	1e+05	6e+05	170	0.25	0.301173139158548	0.6875	0.680031446540887
Chr00	-349999	150000	650000	178	0.25	0.305101246105892	0.6875	0.66560734463278
Chr00	-299999	2e+05	7e+05	197	0.25	0.301645658263283	0.6875	0.682051282051292
Chr00	-249999	250000	750000	213	0.25	0.314180107526869	0.75	0.721944444444453
Chr00	-199999	3e+05	8e+05	216	0.25	0.312828083989486	0.75	0.720619658119667
Chr00	-149999	350000	850000	230	0.25	0.329075425790742	0.75	0.734661172161165
Chr00	-99999	4e+05	9e+05	235	0.25	0.324320330969253	0.75	0.7282894736842
Chr00	-49999	450000	950000	255	0.25	0.322712418300645	0.75	0.726278877887772
Chr00	1	5e+05	1e+06	270	0.3125	0.32271505376343	0.75	0.727346278317136
Chr00	50001	550000	1050000	332	0.25	0.302960526315762	0.75	0.717948717948702
Chr00	100001	6e+05	1100000	322	0.25	0.303875448028653	0.75	0.716743119266037
Chr00	150001	650000	1150000	313	0.25	0.312617702448189	0.75	0.725728155339786
Chr00	200001	7e+05	1200000	301	0.333333333333	0.345930232558119	0.75	0.726190476190448
Chr00	250001	750000	1250000	329	0.333333333333	0.347656249999982	0.75	0.736895161290298
Chr00	300001	8e+05	1300000	318	0.333333333333	0.351109601449257	0.75	0.740906084656063
Chr00	350001	850000	1350000	332	0.333333333333	0.351840101522828	0.75	0.706018518518496
Chr00	400001	9e+05	1400000	371	0.25	0.301618303571417	0.75	0.651300236406598
Chr00	450001	950000	1450000	376	0.25	0.301371082621062	0.75	0.638555936073043
Chr00	500001	1e+06	1500000	361	0.25	0.301991150442458	0.75	0.630099067599051
Chr00	550001	1050000	1550000	346	0.25	0.305180180180168	0.75	0.633969907407391
Chr00	600001	1100000	1600000	349	0.25	0.302499999999987	0.6875	0.628259637188193
Chr00	650001	1150000	1650000	364	0.25	0.306573275862053	0.75	0.647875816993446
Chr00	700001	1200000	1700000	396	0.25	0.31125498007965	0.6875	0.648276748971175
Chr00	750001	1250000	1750000	385	0.25	0.305695564516094	0.6875	0.627178649237453
Chr00	800001	1300000	1800000	390	0.25	0.304384203480556	0.6875	0.622835497835482
Chr00	850001	1350000	1850000	385	0.25	0.297278911564593	0.6875	0.608985260770968
Chr00	900001	1400000	1900000	385	0.25	0.300765306122418	0.6875	0.614442567567563
Chr00	950001	1450000	1950000	373	0.25	0.29719917012445	0.6875	0.610138888888889
Chr00	1000001	1500000	2e+06	373	0.25	0.297363945578202	0.6875	0.616015625000008
Chr00	1050001	1550000	2050000	323	0.25	0.30825791855202	0.6875	0.626470588235302
Chr00	1100001	1600000	2100000	314	0.25	0.306269470404964	0.6875	0.621932515337431
Chr00	1150001	1650000	2150000	317	0.25	0.305620155038741	0.6875	0.625000000000008
Chr00	1200001	1700000	2200000	308	0.25	0.287338969404166	0.6875	0.618497876857766
Chr00	1250001	1750000	2250000	311	0.21875	0.261792452830168	0.666666666667	0.60768072289158
Chr00	1300001	1800000	2300000	310	0.25	0.272196261682222	0.666666666667	0.608057228915676
Chr00	1350001	1850000	2350000	286	0.25	0.274038461538436	0.666666666667	0.632730607966474
Chr00	1400001	1900000	2400000	255	0.3125	0.324612403100749	0.6875	0.686206004140807
Chr00	1450001	1950000	2450000	237	0.3125	0.333597046413486	0.6875	0.713338744588766
Chr00	1500001	2e+06	2500000	235	0.3125	0.342898322851131	0.6875	0.719417735042756
Chr00	1550001	2050000	2550000	223	0.3125	0.338371459694966	0.6875	0.714679911699801
Chr00	1600001	2100000	2600000	222	0.3125	0.347587719298229	0.6875	0.717715231788099
Chr00	1650001	2150000	2650000	218	0.3125	0.344635076252711	0.6875	0.703703703703725
Chr00	1700001	2200000	2700000	180	0.3125	0.371083959899773	0.6875	0.694674392936007
Chr00	1750001	2250000	2750000	179	0.3125	0.370144110275711	0.6875	0.684388528138552
Chr00	1800001	2300000	2800000	176	0.3229166666665	0.379577020202042	0.6875	0.686266447368441
Chr00	1850001	2350000	2850000	168	0.333333333333	0.380905511811043	0.666666666667	0.682397959183694
Chr00	1900001	2400000	2900000	169	0.3125	0.37565616797902	0.666666666667	0.681364155251164
Chr00	1950001	2450000	2950000	168	0.333333333333	0.386078042328052	0.666666666667	0.681321839080483
Chr00	2000001	2500000	3e+06	158	0.333333333333	0.396337365591399	0.666666666667	0.674785539215706
